accession,strain,species,genus,family,order,class,subphylum,phylum,kingdom,superkingdom
SCU82260.1,Lachancea meyersii CBS 8951,Lachancea meyersii,Lachancea,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
SCU77280.1,Lachancea mirantina,Lachancea mirantina,Lachancea,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
GCF01694.1,Zygosaccharomyces mellis,Zygosaccharomyces mellis,Zygosaccharomyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
SCU94539.1,Lachancea sp. CBS 6924,Lachancea sp. PJ-2012a,Lachancea,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
XP_453064.1,Kluyveromyces lactis,Kluyveromyces lactis,Kluyveromyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
XP_022630220.1,Lachancea lanzarotensis,Lachancea lanzarotensis,Lachancea,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
WP_161901104.1,Enterococcus sp. CU12B,Enterococcus sp. CU12B,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
CDO92878.1,Kluyveromyces dobzhanskii CBS 2104,Kluyveromyces dobzhanskii,Kluyveromyces,Saccharomycetaceae,Saccharomycetales,Saccharomycetes,Saccharomycotina,Ascomycota,Fungi,Eukaryota
WP_034862897.1,Enterococcus faecalis,Enterococcus faecalis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_117474532.1,Enterococcus gallinarum,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_029486858.1,Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_003127297.1,Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_138371833.1,Enterococcus sp. M190262,Enterococcus sp. M190262,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_156247377.1,Enterococcus gallinarum,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_060815114.1,Enterococcus gallinarum,Enterococcus gallinarum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_074799017.1,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_122646993.1,Enterococcus mediterraneensis,Enterococcus mediterraneensis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_071867076.1,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_115357638.1,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_062805220.1,Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_034688340.1,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_023519687.1,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_161868584.1,Enterococcus diestrammenae,Enterococcus diestrammenae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_066025017.1,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_065095835.1,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_104872034.1,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_108146156.1,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_019723263.1,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_151668605.1,Enterococcus sp. FM11-1,Enterococcus sp. FM11-1,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_104776674.1,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_108144119.1,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_010735429.1,Enterococcus mundtii,Enterococcus mundtii,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_016175177.1,Enterococcus saccharolyticus,Enterococcus saccharolyticus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_002344243.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_033655414.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_087063924.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_060804936.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_147607055.1,Enterococcus sp. DA9,Enterococcus sp. DA9,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_002306688.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_149484459.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_142974400.1,Enterococcus casseliflavus,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_081117251.1,Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_045172239.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_148793437.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_103021614.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_134860114.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_002290739.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_002340031.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_104761998.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_002295918.1,Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_151399891.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_096705286.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_070828053.1,Enterococcus sp. HMSC035B04,Enterococcus sp. HMSC035B04,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_060792189.1,Enterococcus casseliflavus,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_126822532.1,Vagococcus entomophilus,Vagococcus entomophilus,Vagococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_105222804.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_161387737.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_086307755.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_002339255.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_125291026.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_010722122.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_002329225.1,Firmicutes,None,None,None,None,None,None,Firmicutes,None,Bacteria
WP_008381338.1,unclassified Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_142968131.1,Enterococcus casseliflavus,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_087625826.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_010724082.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_048602930.1,Enterococcus massiliensis,Enterococcus massiliensis,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_002313740.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_142964854.1,Enterococcus casseliflavus,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_002324850.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_104867361.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_137224459.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_024635218.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_123837943.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_086292451.1,unclassified Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_104765516.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_070872977.1,Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_061343674.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_015509808.1,Enterococcus casseliflavus,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_005236221.1,Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_131773658.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_002346574.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_002327024.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_156249493.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_086310036.1,Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_002314991.1,Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_086323227.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_089030303.1,Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_159161610.1,Enterococcus casseliflavus,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_047929766.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_029485651.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_081118983.1,Enterococcus casseliflavus,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_123839988.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_128251796.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_073357383.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_073460816.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_096742639.1,Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_077940916.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_094833393.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_010782570.1,Enterococcus,None,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_047937259.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_161999850.1,Enterococcus asini,Enterococcus asini,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_095006694.1,Enterococcus canintestini,Enterococcus canintestini,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_105882667.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_118341112.1,Enterococcus asini,Enterococcus asini,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_010737588.1,Enterococcus hirae,Enterococcus hirae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_138314662.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_086291284.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_010753762.1,Enterococcus asini,Enterococcus asini,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_010750947.1,Enterococcus villorum,Enterococcus villorum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_151346928.1,Enterococcus faecium,Enterococcus faecium,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_071864682.1,Enterococcus canintestini,Enterococcus canintestini,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_010719146.1,Enterococcus hirae,Enterococcus hirae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_136771051.1,Enterococcus hirae,Enterococcus hirae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_113803566.1,Enterococcus hirae,Enterococcus hirae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_131773134.1,Enterococcus hirae,Enterococcus hirae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_077453723.1,Enterococcus casseliflavus,Enterococcus casseliflavus,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_081181589.1,Enterococcus villorum,Enterococcus villorum,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_034697978.1,Enterococcus hirae,Enterococcus hirae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_087664183.1,Enterococcus sp. 8E11_MSG4843,Enterococcus sp. 8E11_MSG4843,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_054116829.1,Enterococcus sp. RIT-PI-f,Enterococcus sp. RIT-PI-f,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
WP_081127595.1,Enterococcus hirae,Enterococcus hirae,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
HCE12106.1,Enterococcus sp.,Enterococcus sp.,Enterococcus,Enterococcaceae,Lactobacillales,Bacilli,None,Firmicutes,None,Bacteria
